Corruption Perceptions Index 2019: Statistically significant changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,CPI 2019,CPI 2012,Score change,,Country,CPI 2019,CPI 2013,Score change,,Country,CPI 2019,CPI 2014,Score change,,Country,CPI 2019,CPI 2015,Score change,,Country,CPI 2019,CPI 2016,Score change,,Country,CPI 2019,CPI 2017,Score change,,Country,CPI 2019,CPI 2018,Score change
Canada,77,84,-7,,Australia,77,81,-4,,Chile,67,73,-6,,Luxembourg,80,85,-5,,"Korea, South",59,53,6,,Ecuador,38,32,6,,Angola,26,19,7
Australia,77,85,-8,,Austria,77,69,8,,Saint Lucia,55,71,-16,,Canada,77,83,-6,,Argentina,45,36,9,,Angola,26,19,7,,Nicaragua,22,25,-3
Austria,77,69,8,,Estonia,74,68,6,,Italy,53,43,10,,Malta,54,60,-6,,Ecuador,38,31,7,,Nicaragua,22,26,-4,,,,,
Estonia,74,64,10,,Czech Republic,56,48,8,,Belarus,45,31,14,,Italy,53,44,9,,Tanzania,37,32,5,,,,,,,,,,
Czech Republic,56,49,7,,Saint Lucia,55,71,-16,,Argentina,45,34,11,,Belarus,45,32,13,,Liberia,28,37,-9,,,,,,,,,,
Saint Lucia,55,71,-16,,Italy,53,43,10,,Hungary,44,54,-10,,Argentina,45,32,13,,Angola,26,18,8,,,,,,,,,,
Italy,53,42,11,,Belarus,45,29,16,,Ghana,41,48,-7,,Kuwait,40,49,-9,,Nicaragua,22,26,-4,,,,,,,,,,
Greece,48,36,12,,Argentina,45,34,11,,Guyana,40,30,10,,Guyana,40,29,11,,,,,,,,,,,,,,,
Senegal,45,36,9,,Hungary,44,54,-10,,Nepal,34,29,5,,Tanzania,37,30,7,,,,,,,,,,,,,,,
Belarus,45,31,14,,India,41,36,5,,Mexico,29,35,-6,,Nepal,34,27,7,,,,,,,,,,,,,,,
Argentina,45,35,10,,Guyana,40,27,13,,Liberia,28,37,-9,,Mali,29,35,-6,,,,,,,,,,,,,,,
Hungary,44,55,-11,,Turkey,39,50,-11,,Angola,26,19,7,,Liberia,28,37,-9,,,,,,,,,,,,,,,
India,41,36,5,,Cote d'Ivoire,35,27,8,,Uzbekistan,25,18,7,,Angola,26,15,11,,,,,,,,,,,,,,,
Guyana,40,28,12,,Malawi,31,37,-6,,Nicaragua,22,28,-6,,Uzbekistan,25,19,6,,,,,,,,,,,,,,,
Turkey,39,49,-10,,Mexico,29,34,-5,,"Korea, North",17,8,9,,Nicaragua,22,27,-5,,,,,,,,,,,,,,,
Ethiopia,37,33,4,,Liberia,28,38,-10,,,,,,,"Korea, North",17,8,9,,,,,,,,,,,,,,,
Bosnia and Herzegovina,36,42,-6,,Uzbekistan,25,17,8,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,35,29,6,,Nicaragua,22,28,-6,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,34,27,7,,"Korea, North",17,8,9,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,31,37,-6,,Afghanistan,16,8,8,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,30,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,29,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,29,34,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,28,41,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,26,33,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,25,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,24,32,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,22,29,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,19,26,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, North",17,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,16,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,15,23,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,13,26,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,