2018 COUNTRY POLICY AND INSTITUTIONAL ASSESSMENTS,,,,,,,,,,,,,,,,,,,,,,,,
(FINAL RATINGS),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A. Economic Management,,,,B. Structural Policies,,,,C. Policies for Social Inclusion/Equity,,,,,,D. Public Sector Management and Institutions,,,,,,
IDA / IBRD,Region,Country Code,Country,1,2,3,,4,5,6,,7,8,9,10,11,,12,13,14,15,16,,
,,,,Monetary & Exch. Rate Pol.,Fiscal Policy,Debt Policy & Mgt.,Ave.  A,Trade ,Financial Sector,Business Regulatory Environ.,Ave.   B,Gender Equality,Equity of Public Resource Use,Building Human Resour.,Social Protection & Labor,Pol. & Instit. for Environ. Sustain.,Ave.   C,Property Rights & Rule-based Govern.,Quality of Budget. & Finan. Mgt.,Effic.of Revenue Mobil.,Quality of Public Admin.,"Transpar., Account. & Corrup.in Pub. Sec.",Ave.   D,Overall Rating
IDA,Africa,BEN,Benin,4.0,3.5,4.0,3.8,4.0,2.5,3.5,3.3,3.5,3.5,4.0,3.0,3.5,3.5,3.0,3.5,3.5,3.0,3.5,3.3,3.5
IDA,Africa,BFA,Burkina Faso,4.0,3.0,4.0,3.7,4.0,3.0,3.5,3.5,3.5,4.0,4.0,3.0,4.0,3.7,3.0,3.5,3.5,3.5,3.5,3.4,3.6
IDA,Africa,BDI,Burundi,2.5,3.0,2.5,2.7,4.0,2.5,3.0,3.2,4.0,3.5,4.0,3.0,3.0,3.5,2.0,2.5,3.0,2.5,1.5,2.3,2.9
IDA,Africa,CMR,Cameroon,4.0,3.5,3.5,3.7,4.0,3.0,3.0,3.3,3.0,3.0,3.5,3.0,3.5,3.2,2.5,3.5,3.5,3.0,2.5,3.0,3.3
IDA,Africa,CPV,Cape Verde,4.0,3.5,2.5,3.3,4.5,3.5,3.5,3.8,4.0,3.5,4.5,4.0,3.5,3.9,4.0,3.5,4.0,4.0,4.5,4.0,3.8
IDA,Africa,CAF,Central African Republic,3.5,3.0,2.5,3.0,3.0,2.5,2.0,2.5,2.5,2.0,3.0,2.0,2.5,2.4,2.0,2.5,2.5,2.5,2.5,2.4,2.6
IDA,Africa,TCD,Chad,3.5,3.0,2.0,2.8,3.0,2.5,2.5,2.7,2.5,3.0,3.0,3.0,2.5,2.8,2.5,3.0,2.5,2.5,2.5,2.6,2.7
IDA,Africa,COM,Comoros,3.0,2.5,3.0,2.8,3.5,2.5,3.0,3.0,3.0,2.5,3.5,2.0,3.0,2.8,3.0,2.5,2.5,2.5,2.5,2.6,2.8
IDA,Africa,ZAR,"Congo, Dem. Rep.",3.0,3.0,3.5,3.2,3.5,2.5,3.0,3.0,3.0,3.5,3.5,2.5,3.0,3.1,2.0,2.5,3.0,3.0,2.0,2.5,2.9
IDA,Africa,COG,"Congo, Rep",3.0,3.0,2.0,2.7,3.5,3.0,2.0,2.8,3.0,3.0,3.0,2.5,2.5,2.8,2.5,2.5,3.0,2.5,2.0,2.5,2.7
IDA,Africa,CIV,Côte d'Ivoire,4.0,3.5,3.5,3.7,4.0,3.0,3.5,3.5,3.0,3.5,4.0,3.0,3.5,3.4,3.5,3.5,3.5,3.0,3.0,3.3,3.5
IDA,Africa,ERI,Eritrea,1.5,1.5,1.0,1.3,2.0,1.0,1.0,1.3,3.0,2.5,3.5,2.0,2.0,2.6,2.5,2.0,3.5,2.5,2.5,2.6,2.0
IDA,Africa,ETH,Ethiopia,3.5,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.5,4.0,4.5,3.5,3.5,3.8,3.0,4.0,3.5,4.0,3.0,3.5,3.5
IDA,Africa,GMB,"Gambia, The",2.5,2.5,2.0,2.3,4.0,2.5,3.0,3.2,3.5,3.0,4.5,2.5,3.5,3.4,3.0,3.0,3.5,3.0,2.5,3.0,3.0
IDA,Africa,GHA,Ghana,3.5,3.0,3.5,3.3,4.0,3.0,3.5,3.5,4.0,3.0,4.0,3.5,4.0,3.7,4.0,3.5,3.5,3.5,3.5,3.6,3.5
IDA,Africa,GIN,Guinea,4.0,3.5,3.0,3.5,3.5,2.5,3.0,3.0,3.0,3.5,3.5,3.0,3.5,3.3,2.5,3.0,3.5,3.0,2.5,2.9,3.2
IDA,Africa,GNB,Guinea-Bissau,3.0,2.5,2.5,2.7,4.0,2.0,2.5,2.8,2.0,2.0,2.5,2.5,2.5,2.3,2.0,2.0,2.5,2.0,1.5,2.0,2.5
IDA,Africa,KEN,Kenya,4.5,3.5,4.0,4.0,4.0,3.5,3.5,3.7,3.5,4.0,4.0,3.5,3.5,3.7,3.0,3.5,4.0,3.5,3.0,3.4,3.7
IDA,Africa,LSO,Lesotho,3.5,2.5,3.5,3.2,4.0,3.0,3.5,3.5,4.0,3.0,3.5,3.0,3.5,3.4,3.5,2.5,4.0,3.0,3.0,3.2,3.3
IDA,Africa,LBR,Liberia,3.5,3.0,3.0,3.2,3.5,2.5,2.5,2.8,3.0,3.5,3.5,2.5,3.0,3.1,2.0,2.5,3.5,2.0,2.5,2.5,2.9
IDA,Africa,MDG,Madagascar,4.0,3.0,4.0,3.7,4.0,3.0,3.0,3.3,4.0,3.0,3.5,3.0,3.0,3.3,2.5,3.0,3.5,2.5,2.5,2.8,3.3
IDA,Africa,MWI,Malawi,3.5,2.0,3.0,2.8,3.5,3.0,3.0,3.2,3.5,4.0,3.5,3.5,3.5,3.6,3.5,3.5,4.0,2.5,2.5,3.2,3.2
IDA,Africa,MLI,Mali,4.0,4.0,4.0,4.0,4.0,3.0,3.5,3.5,2.5,3.5,3.0,3.0,3.5,3.1,2.5,3.5,3.5,2.5,3.0,3.0,3.4
IDA,Africa,MRT,Mauritania,3.5,4.0,3.0,3.5,4.0,2.5,3.0,3.2,3.5,4.0,3.5,3.0,3.5,3.5,3.0,3.5,4.0,3.0,3.0,3.3,3.4
IDA,Africa,MOZ,Mozambique,3.5,3.0,2.5,3.0,4.0,3.0,3.0,3.3,3.5,3.0,4.0,3.0,3.5,3.4,2.5,3.5,4.0,3.0,2.5,3.1,3.2
IDA,Africa,NER,Niger,4.0,3.5,4.0,3.8,4.0,3.0,3.5,3.5,2.5,4.0,3.5,3.0,3.0,3.2,3.0,3.0,3.5,3.0,3.0,3.1,3.4
IDA,Africa,NGA,Nigeria,3.0,3.0,4.0,3.3,3.5,2.5,3.0,3.0,3.0,3.5,3.0,4.0,3.5,3.4,2.5,3.0,3.0,2.5,3.0,2.8,3.1
IDA,Africa,RWA,Rwanda,4.0,4.0,4.0,4.0,4.5,3.5,4.5,4.2,4.5,4.5,4.0,4.0,4.0,4.2,3.5,4.0,4.0,4.0,3.5,3.8,4.0
IDA,Africa,STP,São Tomé and Principe,3.0,3.0,2.5,2.8,4.0,2.5,3.0,3.2,3.0,3.0,3.5,2.5,3.5,3.1,3.0,3.0,3.5,3.0,3.5,3.2,3.1
IDA,Africa,SEN,Senegal,4.0,3.5,4.5,4.0,4.5,3.5,3.0,3.7,3.5,4.0,4.5,3.0,3.5,3.7,3.5,3.5,3.5,3.5,3.5,3.5,3.7
IDA,Africa,SLE,Sierra Leone,3.5,3.0,3.0,3.2,3.5,3.0,3.0,3.2,3.0,3.5,3.0,3.0,3.0,3.1,3.0,3.5,3.5,3.0,3.0,3.2,3.2
IDA,Africa,SSD,South Sudan,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.5,2.0,2.0,1.0,1.0,1.5,1.5,1.0,2.0,1.0,1.5,1.4,1.5
IDA,Africa,SDN,Sudan,1.5,2.5,1.5,1.8,2.5,2.5,3.0,2.7,2.5,2.5,3.0,2.5,2.0,2.5,2.0,2.5,2.5,2.0,1.5,2.1,2.3
IDA,Africa,TZA,Tanzania,4.5,3.5,4.0,4.0,4.0,3.0,3.0,3.3,3.0,4.0,4.0,4.0,3.0,3.6,3.0,3.0,3.5,3.0,2.5,3.0,3.5
IDA,Africa,TGO,Togo,4.0,3.0,3.0,3.3,4.0,2.5,3.5,3.3,3.0,3.5,3.5,3.0,4.0,3.4,3.0,2.5,3.0,3.0,3.0,2.9,3.2
IDA,Africa,UGA,Uganda,4.0,4.0,4.5,4.2,4.5,3.5,3.5,3.8,3.0,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.0,2.5,3.2,3.7
IDA,Africa,ZMB,Zambia,3.0,2.0,3.0,2.7,4.0,3.5,4.0,3.8,3.0,3.5,4.0,3.0,3.5,3.4,3.0,3.5,3.5,3.0,2.5,3.1,3.3
IDA,Africa,ZWE,Zimbabwe,2.0,2.5,2.0,2.2,2.5,2.5,2.5,2.5,4.0,3.5,4.0,3.0,4.0,3.7,2.0,3.0,4.0,2.5,2.5,2.8,2.8
IDA,East Asia and Pacific,KHM,Cambodia,4.0,3.5,5.0,4.2,4.5,3.0,2.5,3.3,4.0,3.5,4.0,2.5,3.0,3.4,2.5,3.0,3.5,2.5,1.5,2.6,3.4
IDA,East Asia and Pacific,KIR,Kiribati,3.0,2.5,2.5,2.7,3.5,2.5,2.5,2.8,2.5,3.5,3.0,3.0,3.0,3.0,3.5,2.5,3.5,3.0,3.5,3.2,2.9
IDA,East Asia and Pacific,LAO,Lao PDR,3.5,3.0,2.5,3.0,4.5,2.0,3.0,3.2,4.0,3.5,4.0,2.5,3.5,3.5,3.0,3.5,3.5,3.0,2.5,3.1,3.2
IDA,East Asia and Pacific,MHL,Marshall Islands,3.0,2.5,2.0,2.5,3.0,2.0,2.5,2.5,3.0,2.0,3.0,2.0,3.0,2.6,3.5,2.5,2.5,2.0,3.5,2.8,2.6
IDA,East Asia and Pacific,FSM,"Micronesia, Fed. Sts",3.0,2.5,2.5,2.7,4.0,2.5,2.0,2.8,2.5,3.0,3.0,2.0,2.5,2.6,3.0,2.5,3.0,2.5,3.5,2.9,2.8
IDA,East Asia and Pacific,MNG,Mongolia,3.5,3.0,3.0,3.2,4.0,2.5,3.5,3.3,4.0,4.0,4.0,3.5,3.5,3.8,3.0,3.5,3.5,3.0,3.0,3.2,3.4
IDA,East Asia and Pacific,MMR,Myanmar,3.5,3.5,4.0,3.7,3.5,3.0,2.5,3.0,3.0,2.5,3.0,2.0,2.5,2.6,2.0,3.5,3.5,2.5,2.5,2.8,3.0
IDA,East Asia and Pacific,PNG,Papua New Guinea,3.0,2.5,3.5,3.0,4.0,3.5,3.0,3.5,2.5,3.5,2.5,2.5,2.0,2.6,2.0,3.0,3.5,3.0,3.0,2.9,3.0
IDA,East Asia and Pacific,WSM,Samoa,4.5,4.5,3.5,4.2,4.5,3.5,3.5,3.8,4.0,4.5,4.0,3.5,3.5,3.9,4.0,4.0,4.5,4.0,4.0,4.1,4.0
IDA,East Asia and Pacific,SLB,Solomon Islands,3.5,2.5,3.5,3.2,3.5,3.0,3.0,3.2,3.0,2.5,3.0,2.5,2.5,2.7,3.0,2.5,3.0,2.0,3.0,2.7,2.9
IDA,East Asia and Pacific,TMP,Timor-Leste,3.0,2.5,3.5,3.0,4.0,2.5,2.0,2.8,3.5,3.5,3.0,2.5,2.0,2.9,2.0,3.0,3.0,2.0,2.5,2.5,2.8
IDA,East Asia and Pacific,TON,Tonga,3.5,3.5,3.0,3.3,4.5,3.5,3.0,3.7,3.0,4.0,3.0,3.0,3.0,3.2,4.0,3.5,4.0,3.5,3.5,3.7,3.5
IDA,East Asia and Pacific,TUV,Tuvalu,3.0,3.0,2.0,2.7,3.5,2.5,2.5,2.8,3.0,3.0,3.0,2.5,3.0,2.9,3.5,3.0,3.0,2.5,3.5,3.1,2.9
IDA,East Asia and Pacific,VUT,Vanuatu,4.0,3.0,4.0,3.7,4.0,3.0,3.0,3.3,3.5,3.5,3.0,2.5,3.5,3.2,3.5,3.5,3.5,3.0,3.0,3.3,3.4
IDA,Europe and Central Asia,KVO,Kosovo,3.5,2.5,4.5,3.5,4.5,3.5,4.0,4.0,3.5,3.0,3.5,3.5,3.0,3.3,3.0,4.0,3.5,3.0,3.0,3.3,3.5
IDA,Europe and Central Asia,KGZ,Kyrgyz Republic,4.0,3.0,4.0,3.7,4.5,3.0,3.5,3.7,4.5,4.0,4.0,3.5,3.0,3.8,3.0,3.5,3.5,3.0,3.0,3.2,3.6
IDA,Europe and Central Asia,MDA,Moldova,4.5,3.5,4.0,4.0,4.5,2.5,4.0,3.7,4.5,3.5,4.0,3.5,4.0,3.9,3.5,4.0,3.5,3.5,2.5,3.4,3.7
IDA,Europe and Central Asia,TJK,Tajikistan,3.5,3.5,2.5,3.2,3.5,2.0,3.0,2.8,4.0,3.5,3.5,3.0,3.0,3.4,2.5,3.0,3.5,3.0,2.0,2.8,3.1
IDA,Europe and Central Asia,UZB,Uzbekistan,4.0,4.0,4.5,4.2,3.5,2.5,3.5,3.2,4.0,3.5,4.0,3.5,3.5,3.7,3.0,4.0,4.0,3.0,2.5,3.3,3.6
IDA,Latin America and the Caribbean,DMA,Dominica,3.5,4.0,3.0,3.5,4.0,3.5,3.5,3.7,3.0,3.0,4.5,3.0,3.5,3.4,4.0,3.0,4.0,3.5,4.0,3.7,3.6
IDA,Latin America and the Caribbean,GRD,Grenada,3.5,3.0,3.0,3.2,4.0,3.5,3.0,3.5,3.5,3.0,4.5,4.0,4.0,3.8,3.5,3.0,3.5,3.5,4.0,3.5,3.5
IDA,Latin America and the Caribbean,GUY,Guyana,3.5,3.5,3.5,3.5,3.5,3.5,2.5,3.2,3.0,3.0,4.0,3.0,3.0,3.2,3.0,3.5,3.5,3.0,3.0,3.2,3.3
IDA,Latin America and the Caribbean,HTI,Haiti,3.5,3.0,2.5,3.0,4.5,3.0,1.5,3.0,2.5,2.5,3.5,2.0,2.5,2.6,2.0,3.0,2.5,2.5,2.5,2.5,2.8
IDA,Latin America and the Caribbean,HND,Honduras,3.5,3.5,4.0,3.7,4.0,3.5,2.5,3.3,3.5,4.0,4.0,3.5,3.5,3.7,2.5,3.5,3.5,3.0,3.0,3.1,3.4
IDA,Latin America and the Caribbean,NIC,Nicaragua,4.0,4.0,4.0,4.0,4.5,2.5,3.0,3.3,4.0,4.0,3.5,3.5,3.0,3.6,2.5,3.5,4.0,3.0,2.5,3.1,3.5
IDA,Latin America and the Caribbean,LCA,St. Lucia,3.5,3.0,2.5,3.0,4.0,3.0,4.0,3.7,4.0,4.0,4.0,3.5,3.5,3.8,4.0,3.0,4.0,3.5,4.5,3.8,3.6
IDA,Latin America and the Caribbean,VCT,St. Vincent and the Grenadines,3.5,3.0,3.5,3.3,4.0,3.5,4.0,3.8,3.5,3.0,4.5,3.5,3.5,3.6,4.0,3.0,4.0,3.5,4.0,3.7,3.6
IDA,Middle East and North Africa,DJI,Djibouti,3.5,3.0,2.5,3.0,4.0,3.0,3.0,3.3,3.0,3.0,4.0,3.0,2.5,3.1,3.0,3.0,3.5,3.0,2.5,3.0,3.1
IDA,Middle East and North Africa,YEM,"Yemen, Rep.",2.0,2.0,2.0,2.0,2.5,1.5,2.5,2.2,1.5,2.5,2.0,3.0,2.5,2.3,1.5,1.5,2.5,1.5,1.5,1.7,2.0
IDA,South Asia,AFG,Afghanistan,3.5,3.0,2.5,3.0,3.5,2.0,2.0,2.5,1.5,3.0,3.5,2.5,2.5,2.6,2.0,3.5,3.0,2.5,2.0,2.6,2.7
IDA,South Asia,BGD,Bangladesh,3.5,3.5,4.0,3.7,3.5,2.5,3.0,3.0,3.0,3.5,4.0,3.5,3.0,3.4,2.5,3.0,3.0,2.5,2.5,2.7,3.2
IDA,South Asia,BTN,Bhutan,4.5,4.0,4.0,4.2,3.5,3.0,3.5,3.3,4.0,4.5,4.5,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.1,3.9
IDA,South Asia,MDV,Maldives,3.0,2.5,2.5,2.7,4.0,3.0,3.5,3.5,3.5,3.0,4.5,3.5,3.0,3.5,3.0,2.5,4.0,3.0,2.5,3.0,3.2
IDA,South Asia,NPL,Nepal,3.0,3.0,4.0,3.3,3.5,4.0,3.5,3.7,3.5,4.0,4.5,3.0,3.5,3.7,3.0,3.0,3.5,3.0,3.0,3.1,3.4
IDA,South Asia,PAK,Pakistan,3.0,2.5,3.5,3.0,3.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,3.0,3.2,2.5,3.5,3.5,3.0,3.0,3.1,3.2
,,,,,,,,,,,,,,,,,,,,,,,,