Rank / 137,Country / Economy,Value(1â€“7 (best))
1,Singapore,6.4
2,Finland,6.3
3,Canada,6.1
4,Luxembourg,6.1
5,Hong Kong SAR,6.1
6,Norway,6.0
7,Australia,6.0
8,New Zealand,5.9
9,Qatar,5.9
10,Switzerland,5.9
11,Netherlands,5.8
12,Japan,5.8
13,United Arab Emirates,5.8
14,Chile,5.8
15,Sweden,5.7
16,Israel,5.7
17,Denmark,5.6
18,United States,5.6
19,"Taiwan, China",5.6
20,United Kingdom,5.6
21,France,5.5
22,Guatemala,5.5
23,Bahrain,5.5
24,Germany,5.4
25,Belgium,5.4
26,Czech Republic,5.4
27,Jamaica,5.4
28,Malta,5.4
29,Panama,5.3
30,Estonia,5.3
31,Uruguay,5.3
32,Malaysia,5.3
33,Morocco,5.2
34,Saudi Arabia,5.2
35,Oman,5.2
36,Philippines,5.1
37,Peru,5.1
38,Austria,5.0
39,Costa Rica,5.0
40,Honduras,5.0
41,Guinea,5.0
42,Namibia,4.9
43,Rwanda,4.9
44,Brazil,4.9
45,Thailand,4.9
46,South Africa,4.8
47,Bhutan,4.7
48,Mexico,4.7
49,Jordan,4.7
50,Egypt,4.7
51,Indonesia,4.7
52,Nicaragua,4.7
53,Slovak Republic,4.7
54,Botswana,4.6
55,Kenya,4.6
56,Mauritius,4.6
57,Nigeria,4.6
58,Iceland,4.6
59,Colombia,4.6
60,China,4.5
61,Paraguay,4.5
62,Kuwait,4.5
63,Spain,4.5
64,India,4.5
65,Ireland,4.5
66,Lebanon,4.4
67,Dominican Republic,4.4
68,Azerbaijan,4.3
69,Brunei Darussalam,4.3
70,Trinidad and Tobago,4.3
71,"Korea, Rep.",4.3
72,Sri Lanka,4.2
73,Uganda,4.2
74,"Gambia, The",4.2
75,Lithuania,4.2
76,Tunisia,4.2
77,Croatia,4.1
78,Turkey,4.1
79,Armenia,4.1
80,Eswatini,4.1
81,Zambia,4.1
82,El Salvador,4.1
83,Cape Verde,4.0
84,Montenegro,4.0
85,Ghana,4.0
86,Nepal,4.0
87,Bulgaria,4.0
88,Albania,4.0
89,Viet Nam,4.0
90,Tajikistan,3.9
91,Pakistan,3.9
92,Ethiopia,3.9
93,Ecuador,3.9
94,Malawi,3.9
95,Seychelles,3.8
96,Latvia,3.8
97,Senegal,3.8
98,Slovenia,3.8
99,Lao PDR,3.8
100,Zimbabwe,3.8
101,Bangladesh,3.8
102,Georgia,3.8
103,Cameroon,3.8
104,Poland,3.7
105,Tanzania,3.7
106,Benin,3.7
107,Argentina,3.6
108,Kyrgyz Republic,3.6
109,Serbia,3.6
110,Cyprus,3.5
111,Hungary,3.5
112,Russian Federation,3.5
113,Portugal,3.4
114,Romania,3.4
115,Liberia,3.4
116,Italy,3.4
117,Kazakhstan,3.4
118,Mali,3.4
119,Cambodia,3.4
120,Algeria,3.4
121,Mozambique,3.3
122,Bosnia and Herzegovina,3.3
123,"Congo, Democratic Rep.",3.3
124,Sierra Leone,3.3
125,Burundi,3.3
126,"Iran, Islamic Rep.",3.2
127,Venezuela,3.2
128,Lesotho,3.2
129,Greece,3.1
130,Madagascar,3.1
131,Mongolia,2.8
132,Haiti,2.7
133,Chad,2.6
134,Ukraine,2.4
135,Moldova,2.3
136,Mauritania,2.3
137,Yemen,2.2