Rank / 140,Country / Economy,Value(1–7 (best)),Score(0-100)
1,Finland,6.6,92.7
2,Singapore,6.3,88.5
3,Luxembourg,6.3,88.1
4,Hong Kong SAR,6.3,87.9
5,Netherlands,6.3,87.7
6,Canada,6.2,87.1
7,Switzerland,6.2,86.0
8,Austria,6.1,85.2
9,New Zealand,6.0,83.9
10,Israel,6.0,83.6
11,Australia,6.0,83.5
12,Norway,6.0,83.0
13,Sweden,6.0,82.9
14,United States,5.9,81.1
15,Belgium,5.8,80.6
16,Japan,5.8,80.5
17,United Kingdom,5.8,80.3
18,Denmark,5.8,79.3
19,France,5.7,79.0
20,Chile,5.6,77.4
21,"Taiwan, China",5.6,77.4
22,Malta,5.6,77.4
23,Malaysia,5.6,77.2
24,Iceland,5.6,76.5
25,Qatar,5.6,75.9
26,Germany,5.5,74.6
27,Slovak Republic,5.5,74.6
28,Estonia,5.5,74.4
29,Bahrain,5.4,73.9
30,Honduras,5.4,73.2
31,Jamaica,5.3,72.5
32,Uruguay,5.3,72.3
33,Saudi Arabia,5.3,72.2
34,Czech Republic,5.3,72.2
35,Guatemala,5.3,71.8
36,Mauritius,5.3,71.6
37,Oman,5.2,70.4
38,United Arab Emirates,5.2,70.2
39,Costa Rica,5.2,69.6
40,Panama,5.2,69.3
41,Spain,5.2,69.3
42,Ireland,5.1,69.1
43,Philippines,5.1,69.1
44,Namibia,5.1,68.7
45,Guinea,5.1,68.5
46,Eswatini,5.1,67.8
47,Morocco,5.1,67.5
48,Mexico,5.0,66.2
49,Jordan,5.0,66.1
50,"Korea, Rep.",4.9,65.6
51,Ecuador,4.9,65.6
52,Thailand,4.9,65.5
53,Romania,4.9,65.2
54,Lithuania,4.9,65.0
55,South Africa,4.9,64.6
56,Zimbabwe,4.9,64.3
57,Colombia,4.8,63.1
58,Trinidad and Tobago,4.8,63.1
59,Hungary,4.8,62.8
60,Latvia,4.7,62.5
61,Peru,4.7,62.4
62,Indonesia,4.7,62.3
63,India,4.7,62.3
64,"Gambia, The",4.7,61.9
65,Brazil,4.7,61.5
66,Bulgaria,4.7,61.2
67,Poland,4.7,61.1
68,Egypt,4.7,61.1
69,Rwanda,4.6,60.4
70,Cyprus,4.6,60.3
71,El Salvador,4.6,60.3
72,Botswana,4.6,60.3
73,Slovenia,4.6,59.8
74,Kenya,4.6,59.3
75,China,4.5,59.1
76,Bolivia,4.5,59.1
77,Nigeria,4.5,59.0
78,Albania,4.5,58.7
79,Italy,4.5,58.2
80,Nicaragua,4.5,57.7
81,Dominican Republic,4.5,57.6
82,Brunei Darussalam,4.4,56.7
83,Georgia,4.4,56.6
84,Malawi,4.4,56.5
85,Sri Lanka,4.4,56.4
86,Kuwait,4.4,56.2
87,Armenia,4.3,55.4
88,Azerbaijan,4.3,55.0
89,Russian Federation,4.3,55.0
90,Ghana,4.3,54.9
91,Lebanon,4.3,54.7
92,Seychelles,4.2,54.0
93,Turkey,4.2,54.0
94,Portugal,4.2,53.3
95,Venezuela,4.2,53.2
96,Montenegro,4.2,53.1
97,Tunisia,4.2,53.1
98,Côte d'Ivoire,4.2,52.7
99,Uganda,4.2,52.6
100,Kazakhstan,4.1,52.4
101,Paraguay,4.1,52.2
102,Senegal,4.1,51.6
103,Tajikistan,4.1,51.6
104,Argentina,4.1,51.4
105,Nepal,4.1,51.0
106,Tanzania,4.1,51.0
107,Moldova,4.0,50.4
108,Serbia,4.0,49.9
109,Croatia,3.9,48.9
110,Ethiopia,3.9,48.4
111,Lao PDR,3.9,48.4
112,Cape Verde,3.9,47.9
113,Pakistan,3.9,47.8
114,Liberia,3.8,47.4
115,Burkina Faso,3.8,47.2
116,Benin,3.8,47.2
117,Cameroon,3.8,47.0
118,Zambia,3.8,46.1
119,Greece,3.7,45.8
120,Ukraine,3.7,45.7
121,Burundi,3.7,45.4
122,North Macedonia,3.7,45.0
123,Cambodia,3.7,44.4
124,Bangladesh,3.6,44.0
125,Kyrgyz Republic,3.6,43.8
126,Mongolia,3.6,43.8
127,"Iran, Islamic Rep.",3.6,42.8
128,Viet Nam,3.5,42.5
129,Bosnia and Herzegovina,3.4,40.4
130,Sierra Leone,3.4,40.3
131,Algeria,3.4,39.7
132,Mali,3.3,38.6
133,Mozambique,3.3,38.2
134,"Congo, Democratic Rep.",3.3,37.7
135,Chad,2.9,30.9
136,Lesotho,2.8,29.9
137,Haiti,2.8,29.6
138,Yemen,2.6,26.2
139,Mauritania,2.2,19.9
140,Angola,2.2,19.7